Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,Class
"11.665,00","435,71","182,75","81,97","0,89","11.895,00","0,65",Osmancik
"11.147,00","417,46","169,33","84,88","0,87","11.331,00","0,72",Osmancik
"13.645,00","454,61","182,60","95,71","0,85","13.819,00","0,63",Osmancik
"10.854,00","415,28","170,14","82,01","0,88","11.071,00","0,62",Osmancik
"12.312,00","447,72","178,96","88,52","0,87","12.593,00","0,62",Osmancik
"11.652,00","429,52","172,41","87,48","0,86","11.982,00","0,63",Osmancik
"13.460,00","451,05","181,47","95,35","0,85","13.697,00","0,73",Osmancik
"11.444,00","424,37","174,22","84,26","0,88","11.638,00","0,66",Osmancik
"11.859,00","436,25","184,64","82,17","0,90","12.049,00","0,65",Osmancik
"12.650,00","438,14","175,84","92,57","0,85","12.871,00","0,79",Osmancik
"11.227,00","427,81","179,56","80,32","0,89","11.430,00","0,59",Osmancik
"12.279,00","455,42","191,65","82,48","0,90","12.549,00","0,59",Osmancik
"11.694,00","431,39","177,07","85,11","0,88","11.875,00","0,69",Osmancik
"11.419,00","431,51","175,96","83,67","0,88","11.732,00","0,67",Osmancik
"11.357,00","427,04","178,60","81,39","0,89","11.546,00","0,60",Osmancik
"12.339,00","453,26","191,50","82,77","0,90","12.534,00","0,62",Osmancik
"11.792,00","443,91","186,20","81,23","0,90","12.012,00","0,63",Osmancik
"11.377,00","429,39","172,54","85,88","0,87","11.746,00","0,74",Osmancik
"12.073,00","439,80","177,39","87,63","0,87","12.337,00","0,68",Osmancik
"13.010,00","450,56","186,15","90,26","0,87","13.184,00","0,63",Osmancik
"12.188,00","434,21","171,76","91,44","0,85","12.529,00","0,62",Osmancik
"11.417,00","419,27","170,16","86,50","0,86","11.584,00","0,63",Osmancik
"10.811,00","420,23","174,59","79,98","0,89","11.027,00","0,68",Osmancik
"11.062,00","411,11","167,80","84,98","0,86","11.242,00","0,82",Osmancik
"11.745,00","426,77","179,02","84,03","0,88","11.904,00","0,69",Osmancik
"11.363,00","423,27","175,87","83,84","0,88","11.548,00","0,79",Osmancik
"13.524,00","472,73","192,09","91,38","0,88","13.947,00","0,60",Osmancik
"10.491,00","411,99","174,71","77,04","0,90","10.658,00","0,77",Osmancik
"10.815,00","414,06","171,35","80,88","0,88","11.015,00","0,73",Osmancik
"13.269,00","458,49","183,40","93,34","0,86","13.619,00","0,61",Osmancik
"9.962,00","408,72","165,83","78,49","0,88","10.231,00","0,62",Osmancik
"12.164,00","435,09","177,59","88,20","0,87","12.354,00","0,71",Osmancik
"12.434,00","437,90","183,23","87,01","0,88","12.605,00","0,73",Osmancik
"11.107,00","408,46","162,18","87,87","0,84","11.330,00","0,66",Osmancik
"12.483,00","437,40","173,49","92,70","0,85","12.767,00","0,78",Osmancik
"12.494,00","437,22","179,28","89,51","0,87","12.729,00","0,71",Osmancik
"13.415,00","464,29","191,96","89,88","0,88","13.660,00","0,58",Osmancik
"12.868,00","454,86","191,59","86,51","0,89","13.082,00","0,79",Osmancik
"13.034,00","449,85","180,20","93,87","0,85","13.333,00","0,62",Osmancik
"12.918,00","459,83","193,35","86,06","0,90","13.179,00","0,78",Osmancik
"12.260,00","453,24","190,85","83,03","0,90","12.586,00","0,79",Osmancik
"12.419,00","452,20","183,39","87,75","0,88","12.720,00","0,58",Osmancik
"12.881,00","457,78","192,63","86,60","0,89","13.109,00","0,57",Osmancik
"12.624,00","452,73","192,11","84,61","0,90","12.791,00","0,57",Osmancik
"12.437,00","434,67","174,97","91,87","0,85","12.670,00","0,73",Osmancik
"14.026,00","467,77","191,74","94,25","0,87","14.222,00","0,63",Osmancik
"11.271,00","404,46","158,99","91,34","0,82","11.462,00","0,67",Osmancik
"11.929,00","436,86","177,19","86,99","0,87","12.230,00","0,69",Osmancik
"12.387,00","442,27","177,72","90,97","0,86","12.754,00","0,59",Osmancik
"12.837,00","445,64","178,20","93,73","0,85","13.197,00","0,76",Osmancik
"12.638,00","454,56","187,57","86,98","0,89","12.902,00","0,77",Osmancik
"10.594,00","401,24","167,19","81,10","0,87","10.738,00","0,79",Osmancik
"12.337,00","446,22","180,54","87,79","0,87","12.628,00","0,61",Osmancik
"12.249,00","440,39","178,59","88,66","0,87","12.538,00","0,77",Osmancik
"12.198,00","442,42","183,66","85,50","0,89","12.391,00","0,71",Osmancik
"11.523,00","441,40","183,05","81,27","0,90","11.815,00","0,78",Osmancik
"12.094,00","432,39","173,42","89,67","0,86","12.318,00","0,64",Osmancik
"10.246,00","419,95","178,92","74,24","0,91","10.525,00","0,78",Osmancik
"10.578,00","414,62","167,75","81,59","0,87","10.899,00","0,60",Osmancik
"12.131,00","444,93","183,84","85,06","0,89","12.419,00","0,78",Osmancik
"13.340,00","474,68","201,39","85,89","0,90","13.603,00","0,70",Osmancik
"11.387,00","434,79","182,11","80,47","0,90","11.612,00","0,56",Osmancik
"12.331,00","441,44","175,61","90,83","0,86","12.617,00","0,62",Osmancik
"12.297,00","440,60","173,33","92,04","0,85","12.678,00","0,72",Osmancik
"11.776,00","430,33","173,57","87,47","0,86","12.011,00","0,62",Osmancik
"12.823,00","450,64","180,70","91,78","0,86","13.195,00","0,70",Osmancik
"10.973,00","419,26","169,84","83,50","0,87","11.285,00","0,78",Osmancik
"13.361,00","456,74","183,20","93,64","0,86","13.610,00","0,69",Osmancik
"9.414,00","407,83","179,55","66,92","0,93","9.583,00","0,81",Osmancik
"10.997,00","421,48","171,56","82,59","0,88","11.249,00","0,61",Osmancik
"11.502,00","425,96","173,27","85,46","0,87","11.776,00","0,64",Osmancik
"12.031,00","444,46","184,78","84,48","0,89","12.253,00","0,59",Osmancik
"13.095,00","449,35","180,78","92,73","0,86","13.294,00","0,64",Osmancik
"11.670,00","434,09","172,98","87,95","0,86","12.102,00","0,67",Osmancik
"12.214,00","444,29","180,88","87,68","0,87","12.525,00","0,63",Osmancik
"10.819,00","413,26","165,16","84,57","0,86","11.091,00","0,61",Osmancik
"11.217,00","424,08","168,65","86,48","0,86","11.546,00","0,77",Osmancik
"12.574,00","466,52","197,86","81,89","0,91","12.902,00","0,66",Osmancik
"10.884,00","406,72","156,78","89,61","0,82","11.233,00","0,72",Osmancik
"12.749,00","443,44","177,17","92,92","0,85","13.028,00","0,74",Osmancik
"10.412,00","408,72","163,75","82,41","0,86","10.735,00","0,69",Osmancik
"12.737,00","445,15","178,94","91,93","0,86","12.942,00","0,62",Osmancik
"10.360,00","411,24","169,40","78,57","0,89","10.538,00","0,78",Osmancik
"10.809,00","426,05","176,32","79,30","0,89","11.121,00","0,75",Osmancik
"11.890,00","434,03","178,19","85,35","0,88","12.132,00","0,72",Osmancik
"12.013,00","443,48","189,29","81,29","0,90","12.160,00","0,57",Osmancik
"12.323,00","438,65","174,60","91,01","0,85","12.504,00","0,62",Osmancik
"11.669,00","432,10","175,28","86,84","0,87","11.886,00","0,78",Osmancik
"11.658,00","443,26","179,81","83,88","0,88","12.024,00","0,59",Osmancik
"10.800,00","406,48","163,41","85,19","0,85","10.960,00","0,63",Osmancik
"12.280,00","444,42","182,71","86,72","0,88","12.565,00","0,66",Osmancik
"11.639,00","428,31","172,37","87,17","0,86","11.836,00","0,71",Osmancik
"11.145,00","420,32","169,13","85,59","0,86","11.364,00","0,77",Osmancik
"10.036,00","402,86","166,16","77,91","0,88","10.255,00","0,59",Osmancik
"11.860,00","432,06","174,31","88,15","0,86","12.140,00","0,71",Osmancik
"11.778,00","432,26","173,49","87,76","0,86","12.104,00","0,66",Osmancik
"11.759,00","426,14","173,69","87,18","0,86","11.941,00","0,69",Osmancik
"12.373,00","438,88","175,83","90,91","0,86","12.622,00","0,77",Osmancik
"13.218,00","458,76","183,63","93,50","0,86","13.547,00","0,78",Osmancik
"11.656,00","434,40","175,59","85,72","0,87","11.955,00","0,60",Osmancik
"12.086,00","438,50","179,42","86,55","0,88","12.292,00","0,63",Osmancik
"14.009,00","481,98","198,53","91,06","0,89","14.455,00","0,68",Osmancik
"11.454,00","419,31","174,18","84,38","0,87","11.604,00","0,82",Osmancik
"11.923,00","432,33","174,24","88,13","0,86","12.187,00","0,62",Osmancik
"11.469,00","429,86","175,51","85,11","0,87","11.709,00","0,79",Osmancik
"11.451,00","426,25","176,12","84,36","0,88","11.666,00","0,61",Osmancik
"12.831,00","452,72","184,25","89,26","0,87","13.073,00","0,61",Osmancik
"12.201,00","443,46","178,09","88,48","0,87","12.544,00","0,64",Osmancik
"11.794,00","434,62","176,44","86,10","0,87","12.110,00","0,60",Osmancik
"11.487,00","428,09","173,95","85,49","0,87","11.695,00","0,65",Osmancik
"12.863,00","448,51","182,86","90,77","0,87","13.133,00","0,74",Osmancik
"11.070,00","419,40","173,58","82,15","0,88","11.266,00","0,60",Osmancik
"12.220,00","436,98","171,41","92,15","0,84","12.653,00","0,62",Osmancik
"11.690,00","432,52","183,03","82,31","0,89","11.846,00","0,58",Osmancik
"12.416,00","449,74","190,61","83,52","0,90","12.607,00","0,68",Osmancik
"10.629,00","416,89","172,19","79,67","0,89","10.819,00","0,69",Osmancik
"11.379,00","438,16","182,20","80,89","0,90","11.735,00","0,59",Osmancik
"11.825,00","437,45","182,36","83,66","0,89","12.044,00","0,73",Osmancik
"11.314,00","424,08","178,78","81,84","0,89","11.482,00","0,76",Osmancik
"10.805,00","410,45","164,70","84,79","0,86","11.050,00","0,58",Osmancik
"12.613,00","450,21","184,88","88,07","0,88","12.832,00","0,61",Osmancik
"10.289,00","406,54","170,24","77,38","0,89","10.522,00","0,62",Osmancik
"10.852,00","433,64","177,96","80,45","0,89","11.315,00","0,78",Osmancik
"9.798,00","416,67","182,43","69,41","0,92","9.994,00","0,59",Osmancik
"10.847,00","414,45","165,59","85,01","0,86","11.148,00","0,68",Osmancik
"11.433,00","426,92","175,87","84,20","0,88","11.719,00","0,61",Osmancik
"10.502,00","402,83","162,63","83,31","0,86","10.798,00","0,64",Osmancik
"11.296,00","424,70","169,21","87,00","0,86","11.626,00","0,61",Osmancik
"11.378,00","426,61","179,39","81,97","0,89","11.535,00","0,60",Osmancik
"10.318,00","413,21","173,16","76,92","0,90","10.614,00","0,68",Osmancik
"9.862,00","396,86","166,76","75,72","0,89","10.064,00","0,64",Osmancik
"11.139,00","423,32","173,08","82,69","0,88","11.380,00","0,72",Osmancik
"12.269,00","435,66","175,96","90,30","0,86","12.583,00","0,78",Osmancik
"10.780,00","407,16","163,39","85,59","0,85","11.096,00","0,67",Osmancik
"11.867,00","434,81","185,70","81,85","0,90","12.004,00","0,68",Osmancik
"10.968,00","406,79","161,51","87,90","0,84","11.184,00","0,69",Osmancik
"12.381,00","434,16","173,10","91,96","0,85","12.643,00","0,74",Osmancik
"10.745,00","422,23","183,71","75,04","0,91","10.883,00","0,82",Osmancik
"11.366,00","423,11","171,91","85,58","0,87","11.599,00","0,61",Osmancik
"12.605,00","448,85","186,72","86,67","0,89","12.804,00","0,73",Osmancik
"11.983,00","430,63","175,68","87,90","0,87","12.248,00","0,62",Osmancik
"11.385,00","436,61","180,07","82,65","0,89","11.778,00","0,76",Osmancik
"12.053,00","449,60","189,50","82,27","0,90","12.295,00","0,56",Osmancik
"11.964,00","447,51","191,44","80,27","0,91","12.166,00","0,75",Osmancik
"12.577,00","443,15","181,53","89,82","0,87","12.826,00","0,61",Osmancik
"10.492,00","405,91","162,80","83,50","0,86","10.888,00","0,63",Osmancik
"11.342,00","440,20","188,07","77,19","0,91","11.532,00","0,58",Osmancik
"12.071,00","438,70","178,78","87,50","0,87","12.437,00","0,65",Osmancik
"11.790,00","432,33","181,34","83,66","0,89","11.990,00","0,60",Osmancik
"11.634,00","427,11","171,33","88,27","0,86","11.967,00","0,71",Osmancik
"10.915,00","419,59","171,54","82,83","0,88","11.246,00","0,78",Osmancik
"9.117,00","393,84","167,61","69,95","0,91","9.333,00","0,54",Osmancik
"10.390,00","420,79","174,05","77,64","0,89","10.689,00","0,73",Osmancik
"11.174,00","430,30","175,48","83,02","0,88","11.604,00","0,67",Osmancik
"12.027,00","445,20","178,74","87,70","0,87","12.455,00","0,61",Osmancik
"12.537,00","440,11","177,27","91,09","0,86","12.845,00","0,67",Osmancik
"11.392,00","424,52","172,20","85,84","0,87","11.707,00","0,68",Osmancik
"10.538,00","401,34","166,77","81,17","0,87","10.682,00","0,79",Osmancik
"11.912,00","430,37","177,48","86,59","0,87","12.119,00","0,72",Osmancik
"11.335,00","426,58","172,75","85,12","0,87","11.618,00","0,67",Osmancik
"12.067,00","440,00","187,76","82,31","0,90","12.200,00","0,62",Osmancik
"12.416,00","447,96","187,30","85,39","0,89","12.660,00","0,62",Osmancik
"11.447,00","436,87","180,44","82,31","0,89","11.733,00","0,57",Osmancik
"12.683,00","444,53","176,62","92,58","0,85","13.094,00","0,67",Osmancik
"10.584,00","437,05","188,44","72,55","0,92","10.936,00","0,56",Osmancik
"10.817,00","404,00","167,42","82,72","0,87","10.953,00","0,79",Osmancik
"11.926,00","435,75","173,27","89,63","0,86","12.308,00","0,75",Osmancik
"10.941,00","423,41","172,85","81,42","0,88","11.248,00","0,63",Osmancik
"9.679,00","399,85","168,54","74,10","0,90","9.917,00","0,63",Osmancik
"12.735,00","441,38","174,74","94,11","0,84","13.066,00","0,70",Osmancik
"11.691,00","426,28","176,19","85,12","0,88","11.908,00","0,62",Osmancik
"11.573,00","427,28","176,79","84,65","0,88","11.828,00","0,61",Osmancik
"11.490,00","424,56","172,41","85,89","0,87","11.733,00","0,61",Osmancik
"10.380,00","399,05","161,87","82,77","0,86","10.606,00","0,69",Osmancik
"10.032,00","403,10","165,61","78,48","0,88","10.307,00","0,75",Osmancik
"11.287,00","421,99","176,18","82,73","0,88","11.469,00","0,82",Osmancik
"11.201,00","416,54","171,00","84,24","0,87","11.384,00","0,76",Osmancik
"13.387,00","458,96","180,40","95,74","0,85","13.653,00","0,63",Osmancik
"12.188,00","441,28","181,48","86,32","0,88","12.364,00","0,60",Osmancik
"11.016,00","404,35","166,71","84,51","0,86","11.146,00","0,76",Osmancik
"11.881,00","429,80","173,53","88,34","0,86","12.215,00","0,65",Osmancik
"10.816,00","417,78","170,93","81,67","0,88","11.119,00","0,59",Osmancik
"11.125,00","420,21","173,17","82,78","0,88","11.408,00","0,64",Osmancik
"9.369,00","396,76","164,62","73,86","0,89","9.592,00","0,65",Osmancik
"11.601,00","447,13","191,38","78,37","0,91","11.925,00","0,58",Osmancik
"12.945,00","454,68","185,91","89,60","0,88","13.220,00","0,65",Osmancik
"12.070,00","444,45","183,94","85,08","0,89","12.400,00","0,68",Osmancik
"12.036,00","436,15","177,34","87,98","0,87","12.353,00","0,62",Osmancik
"12.419,00","439,16","175,85","90,91","0,86","12.675,00","0,62",Osmancik
"11.334,00","433,39","178,99","82,30","0,89","11.566,00","0,71",Osmancik
"10.562,00","407,19","168,78","80,47","0,88","10.724,00","0,61",Osmancik
"10.895,00","411,59","167,44","84,26","0,86","11.155,00","0,69",Osmancik
"10.583,00","401,31","164,74","82,49","0,87","10.769,00","0,72",Osmancik
"10.440,00","405,61","165,25","82,03","0,87","10.716,00","0,60",Osmancik
"10.365,00","416,34","169,59","79,64","0,88","10.684,00","0,59",Osmancik
"11.632,00","442,44","187,01","80,89","0,90","11.860,00","0,79",Osmancik
"11.535,00","420,81","169,73","87,86","0,86","11.793,00","0,66",Osmancik
"9.762,00","397,25","161,87","78,30","0,88","10.126,00","0,75",Osmancik
"11.119,00","415,02","171,28","83,18","0,87","11.346,00","0,63",Osmancik
"11.396,00","431,30","177,64","82,86","0,88","11.612,00","0,75",Osmancik
"12.126,00","432,95","169,80","92,44","0,84","12.476,00","0,75",Osmancik
"11.243,00","430,93","180,00","81,03","0,89","11.524,00","0,74",Osmancik
"12.574,00","444,63","174,56","93,24","0,85","12.964,00","0,65",Osmancik
"13.098,00","458,73","187,32","90,63","0,88","13.423,00","0,60",Osmancik
"10.961,00","419,39","169,58","84,24","0,87","11.323,00","0,76",Osmancik
"10.590,00","412,51","173,71","78,52","0,89","10.743,00","0,78",Osmancik
"10.579,00","405,12","167,29","81,35","0,87","10.750,00","0,80",Osmancik
"11.323,00","422,44","169,98","86,26","0,86","11.628,00","0,60",Osmancik
"10.512,00","418,07","170,82","79,28","0,89","10.776,00","0,59",Osmancik
"10.866,00","404,36","163,93","85,33","0,85","11.039,00","0,63",Osmancik
"11.919,00","434,26","175,56","87,85","0,87","12.152,00","0,61",Osmancik
"12.692,00","456,79","181,23","91,13","0,86","13.147,00","0,78",Osmancik
"8.328,00","369,74","152,57","70,57","0,89","8.579,00","0,58",Osmancik
"11.354,00","426,87","172,40","85,40","0,87","11.703,00","0,73",Osmancik
"11.291,00","432,65","177,01","82,57","0,88","11.586,00","0,65",Osmancik
"11.905,00","433,25","172,77","89,24","0,86","12.224,00","0,73",Osmancik
"10.725,00","411,69","164,60","84,29","0,86","11.009,00","0,67",Osmancik
"11.907,00","448,17","185,98","82,82","0,90","12.209,00","0,57",Osmancik
"11.862,00","436,30","177,20","86,44","0,87","12.146,00","0,76",Osmancik
"11.912,00","439,64","179,98","85,30","0,88","12.222,00","0,60",Osmancik
"12.101,00","435,93","178,40","86,98","0,87","12.302,00","0,74",Osmancik
"11.749,00","455,26","192,59","78,04","0,91","12.001,00","0,61",Osmancik
"13.325,00","468,35","188,90","90,83","0,88","13.643,00","0,61",Osmancik
"10.272,00","413,69","175,92","74,96","0,90","10.462,00","0,59",Osmancik
"11.259,00","421,51","172,21","84,22","0,87","11.522,00","0,79",Osmancik
"10.574,00","415,96","172,70","78,68","0,89","10.831,00","0,67",Osmancik
"11.443,00","427,23","176,98","82,92","0,88","11.618,00","0,63",Osmancik
"9.346,00","383,74","158,05","75,98","0,88","9.539,00","0,68",Osmancik
"11.432,00","424,18","170,66","86,87","0,86","11.702,00","0,66",Osmancik
"10.993,00","428,70","179,58","78,64","0,90","11.169,00","0,57",Osmancik
"10.218,00","401,77","163,24","80,52","0,87","10.516,00","0,70",Osmancik
"11.200,00","428,17","176,11","82,36","0,88","11.424,00","0,58",Osmancik
"9.080,00","396,54","165,69","70,25","0,91","9.387,00","0,58",Osmancik
"13.103,00","456,79","184,17","91,97","0,87","13.401,00","0,76",Osmancik
"10.561,00","417,93","172,89","79,52","0,89","10.804,00","0,65",Osmancik
"11.249,00","418,94","168,61","86,19","0,86","11.423,00","0,62",Osmancik
"10.214,00","392,24","158,93","82,07","0,86","10.371,00","0,66",Osmancik
"12.042,00","440,70","177,11","88,23","0,87","12.424,00","0,75",Osmancik
"11.226,00","425,01","180,23","79,79","0,90","11.414,00","0,71",Osmancik
"14.932,00","488,86","203,94","94,11","0,89","15.200,00","0,78",Osmancik
"10.873,00","416,67","168,94","83,34","0,87","11.151,00","0,68",Osmancik
"11.859,00","421,81","169,93","89,38","0,85","12.056,00","0,70",Osmancik
"9.519,00","402,22","173,38","70,51","0,91","9.682,00","0,75",Osmancik
"11.565,00","428,49","180,72","81,83","0,89","11.737,00","0,76",Osmancik
"11.860,00","429,79","178,21","85,31","0,88","12.032,00","0,70",Osmancik
"13.085,00","446,31","179,17","94,19","0,85","13.319,00","0,79",Osmancik
"10.453,00","421,52","171,98","78,83","0,89","10.701,00","0,58",Osmancik
"9.120,00","383,57","158,46","74,16","0,88","9.293,00","0,62",Osmancik
"11.316,00","429,64","177,28","82,79","0,88","11.544,00","0,76",Osmancik
"12.800,00","448,29","185,55","88,77","0,88","13.000,00","0,78",Osmancik
"11.599,00","432,32","180,88","82,32","0,89","11.788,00","0,62",Osmancik
"11.715,00","430,38","172,75","87,86","0,86","12.009,00","0,78",Osmancik
"10.132,00","398,67","162,85","80,07","0,87","10.306,00","0,67",Osmancik
"11.828,00","437,91","184,96","82,35","0,90","12.020,00","0,62",Osmancik
"11.624,00","452,37","190,02","79,31","0,91","11.979,00","0,59",Osmancik
"11.910,00","434,74","178,37","86,32","0,88","12.118,00","0,79",Osmancik
"12.136,00","455,43","195,57","80,10","0,91","12.334,00","0,77",Osmancik
"11.787,00","434,51","181,29","83,35","0,89","11.965,00","0,74",Osmancik
"12.347,00","452,29","186,90","85,23","0,89","12.659,00","0,61",Osmancik
"11.247,00","419,19","173,85","82,96","0,88","11.439,00","0,69",Osmancik
"12.037,00","436,20","177,23","87,30","0,87","12.285,00","0,67",Osmancik
"11.765,00","429,29","175,06","86,73","0,87","11.969,00","0,61",Osmancik
"10.536,00","425,37","182,95","73,87","0,91","10.704,00","0,75",Osmancik
"11.320,00","423,99","173,09","84,61","0,87","11.556,00","0,60",Osmancik
"11.569,00","433,01","183,72","80,48","0,90","11.734,00","0,61",Osmancik
"12.182,00","433,84","180,61","86,61","0,88","12.341,00","0,78",Osmancik
"11.584,00","434,74","180,85","82,18","0,89","11.863,00","0,68",Osmancik
"10.803,00","409,13","169,41","81,79","0,88","10.968,00","0,74",Osmancik
"11.908,00","430,70","174,37","88,11","0,86","12.162,00","0,69",Osmancik
"10.144,00","416,15","173,67","75,35","0,90","10.414,00","0,57",Osmancik
"12.608,00","440,13","174,60","93,53","0,84","12.835,00","0,63",Osmancik
"12.099,00","427,18","170,92","91,33","0,85","12.326,00","0,79",Osmancik
"12.579,00","445,89","185,28","86,88","0,88","12.794,00","0,65",Osmancik
"10.685,00","421,04","172,42","80,00","0,89","10.971,00","0,59",Osmancik
"12.120,00","441,00","180,38","86,72","0,88","12.479,00","0,64",Osmancik
"9.468,00","386,50","162,47","74,98","0,89","9.608,00","0,75",Osmancik
"12.663,00","441,29","180,88","89,99","0,87","12.833,00","0,72",Osmancik
"11.266,00","414,73","166,43","87,77","0,85","11.452,00","0,62",Osmancik
"12.161,00","430,59","171,62","92,09","0,84","12.460,00","0,69",Osmancik
"10.035,00","398,10","162,66","79,65","0,87","10.236,00","0,60",Osmancik
"12.161,00","448,59","186,40","84,42","0,89","12.453,00","0,61",Osmancik
"12.397,00","433,35","171,61","92,99","0,84","12.631,00","0,63",Osmancik
"11.410,00","436,37","180,80","81,64","0,89","11.710,00","0,62",Osmancik
"11.703,00","422,05","166,01","91,12","0,84","12.023,00","0,65",Osmancik
"12.535,00","442,94","185,84","86,91","0,88","12.669,00","0,60",Osmancik
"11.782,00","433,74","182,74","83,05","0,89","12.083,00","0,76",Osmancik
"12.693,00","448,16","180,09","91,82","0,86","13.035,00","0,59",Osmancik
"12.678,00","452,93","190,84","85,65","0,89","12.930,00","0,64",Osmancik
"11.840,00","420,14","166,93","90,98","0,84","12.021,00","0,80",Osmancik
"12.397,00","446,32","184,80","86,42","0,88","12.594,00","0,60",Osmancik
"13.056,00","485,66","205,53","82,63","0,92","13.492,00","0,54",Osmancik
"12.266,00","438,82","178,84","88,80","0,87","12.554,00","0,77",Osmancik
"9.571,00","388,59","160,94","76,44","0,88","9.720,00","0,64",Osmancik
"11.236,00","421,44","171,76","84,29","0,87","11.440,00","0,61",Osmancik
"14.658,00","477,12","189,57","100,00","0,85","15.048,00","0,65",Osmancik
"11.553,00","432,48","177,96","84,06","0,88","11.845,00","0,58",Osmancik
"12.615,00","458,23","185,04","88,19","0,88","13.014,00","0,62",Osmancik
"12.692,00","447,74","174,88","94,16","0,84","13.148,00","0,65",Osmancik
"10.975,00","420,52","169,97","83,41","0,87","11.305,00","0,69",Osmancik
"13.553,00","455,19","179,36","97,50","0,84","13.877,00","0,72",Osmancik
"12.213,00","442,27","183,70","85,82","0,88","12.474,00","0,80",Osmancik
"12.837,00","464,77","194,30","85,33","0,90","13.053,00","0,58",Osmancik
"12.885,00","463,44","192,97","86,66","0,89","13.263,00","0,59",Osmancik
"11.911,00","441,06","185,21","82,24","0,90","12.119,00","0,58",Osmancik
"13.045,00","446,01","174,69","96,46","0,83","13.351,00","0,63",Osmancik
"12.637,00","455,29","187,81","86,85","0,89","12.958,00","0,62",Osmancik
"11.483,00","429,55","173,86","85,41","0,87","11.770,00","0,77",Osmancik
"12.237,00","432,39","169,65","93,41","0,83","12.577,00","0,70",Osmancik
"12.675,00","466,10","195,81","83,40","0,90","12.977,00","0,58",Osmancik
"12.649,00","459,95","190,44","85,75","0,89","12.886,00","0,70",Osmancik
"13.217,00","471,75","194,13","88,09","0,89","13.520,00","0,57",Osmancik
"11.372,00","435,59","179,57","81,47","0,89","11.608,00","0,58",Osmancik
"12.831,00","455,24","187,27","88,07","0,88","13.084,00","0,62",Osmancik
"11.742,00","428,03","171,23","88,02","0,86","11.951,00","0,63",Osmancik
"10.667,00","411,75","163,93","84,72","0,86","10.987,00","0,67",Osmancik
"11.470,00","427,20","174,04","85,11","0,87","11.767,00","0,64",Osmancik
"10.167,00","406,83","160,96","82,92","0,86","10.479,00","0,67",Osmancik
"12.720,00","443,45","183,20","89,50","0,87","12.904,00","0,78",Osmancik
"11.027,00","422,39","172,87","82,67","0,88","11.350,00","0,78",Osmancik
"11.794,00","422,10","169,29","89,53","0,85","12.026,00","0,76",Osmancik
"12.301,00","440,01","175,42","90,58","0,86","12.591,00","0,67",Osmancik
"12.204,00","436,86","169,29","93,19","0,83","12.505,00","0,75",Osmancik
"11.458,00","437,44","178,60","83,98","0,88","11.732,00","0,76",Osmancik
"10.882,00","411,75","168,96","83,18","0,87","11.033,00","0,75",Osmancik
"12.053,00","440,98","180,10","86,76","0,88","12.351,00","0,59",Osmancik
"11.281,00","424,97","170,98","85,27","0,87","11.543,00","0,69",Osmancik
"10.948,00","408,44","167,18","83,69","0,87","11.132,00","0,75",Osmancik
"11.525,00","432,30","177,12","83,66","0,88","11.794,00","0,64",Osmancik
"12.340,00","456,40","189,23","84,49","0,89","12.624,00","0,64",Osmancik
"11.340,00","420,92","169,64","86,18","0,86","11.639,00","0,63",Osmancik
"12.326,00","444,07","181,01","87,67","0,87","12.597,00","0,67",Osmancik
"11.975,00","434,91","176,54","87,29","0,87","12.216,00","0,76",Osmancik
"9.944,00","407,36","169,64","75,97","0,89","10.212,00","0,56",Osmancik
"11.432,00","428,54","172,69","85,30","0,87","11.696,00","0,62",Osmancik
"12.695,00","447,83","179,08","91,47","0,86","12.947,00","0,61",Osmancik
"10.864,00","426,58","174,11","81,12","0,88","11.170,00","0,58",Osmancik
"12.913,00","449,02","178,16","93,15","0,85","13.198,00","0,63",Osmancik
"13.117,00","451,87","173,72","98,31","0,82","13.453,00","0,66",Osmancik
"10.713,00","443,40","192,89","71,79","0,93","10.969,00","0,70",Osmancik
"10.344,00","406,19","169,37","78,96","0,88","10.533,00","0,72",Osmancik
"10.483,00","419,02","176,62","76,32","0,90","10.773,00","0,69",Osmancik
"11.697,00","424,15","170,55","88,91","0,85","11.939,00","0,63",Osmancik
"12.764,00","449,55","185,94","88,24","0,88","12.950,00","0,72",Osmancik
"10.784,00","424,14","176,96","78,46","0,90","11.091,00","0,64",Osmancik
"12.811,00","453,94","185,73","89,51","0,88","13.112,00","0,59",Osmancik
"12.593,00","449,57","179,37","90,70","0,86","12.945,00","0,63",Osmancik
"10.767,00","410,62","166,02","83,89","0,86","10.978,00","0,77",Osmancik
"10.572,00","403,27","164,57","81,98","0,87","10.745,00","0,75",Osmancik
"11.312,00","421,55","168,26","87,21","0,86","11.622,00","0,77",Osmancik
"10.740,00","422,77","182,96","75,04","0,91","10.886,00","0,56",Osmancik
"11.052,00","418,95","170,47","83,59","0,87","11.338,00","0,70",Osmancik
"11.906,00","433,86","174,30","88,25","0,86","12.179,00","0,62",Osmancik
"12.466,00","453,45","185,62","86,59","0,88","12.706,00","0,60",Osmancik
"12.871,00","448,58","183,87","90,28","0,87","13.102,00","0,73",Osmancik
"12.714,00","434,12","169,26","96,89","0,82","12.993,00","0,74",Osmancik
"13.066,00","458,26","186,35","90,90","0,87","13.315,00","0,61",Osmancik
"11.682,00","437,04","176,23","86,32","0,87","11.969,00","0,58",Osmancik
